iteration,max_reward,mean_reward,min_reward,std_reward,ALGORITHM,SEED,NUM_ENVS,NUM_STEPS,TOTAL_GENERATIONS,POP_SIZE,EVO_STRATEGY,ENV_NAME,GRID_SIZE,N_AGENTS,N_PREY,PREY_VISIBLE_RANGE,PREY_AUDIBLE_RANGE,N_AGENT_SOUNDS,N_PREY_SOUNDS,N_OVERLAPPING_SOUNDS,OBSERVE_OTHER_AGENTS_POS,WANDB_MODE,ENTITY,PROJECT,CHECKPOINT_INTERVAL,KEEP_CHECKPOINTS,experiment_id,overlapping_sounds
3050,7.999999523162842,2.595214366912842,-1.1250003576278689,1.785946011543274,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3100,10.375,4.1611328125,-1.0000003576278689,1.8968873023986816,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3150,10.0,4.3701171875,-0.5000004172325134,1.7416024208068848,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3200,6.749999523162842,2.877929210662842,-2.250000476837158,1.7041614055633545,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3250,9.499999046325684,4.212890625,-2.000000476837158,1.9608820676803589,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3300,9.875,4.337890625,-0.7500004768371582,1.813904285430908,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3350,9.249999046325684,5.21435546875,0.9999996423721312,1.6684430837631226,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3400,9.375,4.32080078125,-0.7500004172325134,1.886890530586243,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3450,9.374999046325684,3.718261241912842,-0.7500004172325134,1.7550932168960571,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3500,12.0,5.9619140625,0.7499995827674866,2.1574699878692627,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3550,10.624999046325684,4.79541015625,-0.125000387430191,1.9658524990081787,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3600,10.499999046325684,5.19287109375,0.2499996423721313,2.020124673843384,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3650,10.374999046325684,4.80078125,-0.250000387430191,1.8732372522354128,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3700,11.624999046325684,5.50048828125,0.8749996423721313,1.74848210811615,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3750,9.875,4.8642578125,-0.6250003576278687,1.995449423789978,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3800,10.125,5.00537109375,0.1249995604157447,1.773979902267456,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3850,11.624999046325684,5.958984375,0.7499996423721313,1.958873391151428,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3900,12.625,5.79443359375,0.1249995753169059,2.067770481109619,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
3950,11.875,6.57470703125,-4.76837158203125e-07,2.132362604141236,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4000,11.375,5.732421875,1.2499995231628418,1.878689885139465,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4050,13.375,6.18212890625,-0.8750004172325134,2.0869691371917725,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4100,11.625,6.29248046875,0.2499996274709701,2.129295825958252,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4150,11.5,6.205078125,-3.5762786865234375e-07,2.041125774383545,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4200,14.625,6.7822265625,-0.6250004172325134,2.135128974914551,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4250,11.375,6.10595703125,0.9999995231628418,1.8910939693450928,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4300,12.625,6.63232421875,0.9999995231628418,2.2594218254089355,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4350,12.75,7.02734375,-4.291534594358382e-07,2.161617994308472,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4400,12.0,7.24365234375,0.8749995231628418,2.128592014312744,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4450,11.374999046325684,6.52587890625,1.2499996423721311,1.8512498140335083,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4500,12.875,6.828125,-0.3750003278255462,2.1832826137542725,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4550,12.375,7.005859375,1.999999403953552,1.8573952913284304,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4600,12.75,6.50146484375,-4.0531159584134e-07,2.121075391769409,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4650,12.124999046325684,7.2490234375,1.3749996423721311,2.096691846847534,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4700,12.75,7.408203125,1.6249996423721311,2.0503597259521484,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4750,13.25,7.44873046875,1.2499996423721311,2.1949918270111084,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4800,12.875,7.3681640625,1.7499996423721311,2.021841764450073,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4850,12.124999046325684,6.3076171875,1.2499994039535522,1.9142954349517824,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4900,11.125,6.580078125,1.2499996423721311,1.8091115951538088,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
4950,11.375,5.92138671875,-1.1250003576278689,1.9375275373458865,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5000,14.25,8.42333984375,1.7499994039535522,2.2074248790740967,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5050,10.874999046325684,6.37646484375,0.7499996423721313,1.832542896270752,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5100,12.625,6.72314453125,0.1249994784593582,1.9668762683868408,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5150,11.624999046325684,7.01708984375,1.874999403953552,1.946460723876953,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5200,13.375,7.49658203125,1.3749994039535522,2.29025936126709,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5250,15.25,8.59521484375,1.3749994039535522,2.5744822025299072,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5300,12.625,6.896484375,2.124999523162842,1.987270832061768,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
5350,13.375,7.48046875,0.7499995827674866,2.0828444957733154,EVO,5,16,256,10000,256,SimpleGA,MimicryCommEnvGridworld,5,2,1,0,2,5,1,1,False,online,drcope,mimicry-comm,20,3,9132240825750860923,True
